,loss,root_mean_squared_error
0,0.032449824546244205,0.18013834953308105
1,0.0016690664928807888,0.040854211896657944
2,0.0007567110752434685,0.027508379891514778
3,0.0003698126032419726,0.019230511039495468
4,0.00021553142503531367,0.014680990017950535
5,0.0001426096267058304,0.01194192748516798
6,9.494888590745018e-05,0.009744171984493732
7,7.141525873432511e-05,0.008450755849480629
8,5.7260196995245925e-05,0.007567047141492367
9,4.188926810632819e-05,0.0064721922390162945
10,3.2842142508827975e-05,0.005730806849896908
11,2.7405910218235933e-05,0.0052350652404129505
12,2.4122982827625803e-05,0.004911515396088362
13,2.1807955670764793e-05,0.00466989865526557
14,2.120818506821681e-05,0.004605234134942293
15,1.8300716526504482e-05,0.004277933854609728
16,1.7228787476983444e-05,0.004150757100433111
17,1.793927077285867e-05,0.004235477652400732
18,1.7174583740924415e-05,0.004144222941249609
19,1.5476485373731186e-05,0.003934016916900873
20,1.431365706323264e-05,0.0037833391688764095
21,1.7136879553315146e-05,0.004139671567827463
22,1.3945333671013528e-05,0.0037343453150242567
23,1.3627228710997835e-05,0.003691507736220956
24,1.2828381822562987e-05,0.003581673139706254
25,1.223504722480025e-05,0.00349786295555532
26,1.4767307002039214e-05,0.0038428253028541803
27,1.1429747728548536e-05,0.0033807908184826374
28,1.1429881380621887e-05,0.0033808110747486353
29,1.6046602820942522e-05,0.004005820956081152
30,1.6132422573023882e-05,0.004016519524157047
31,1.9361475570635227e-05,0.00440016807988286
32,1.578354923236664e-05,0.003972851671278477
33,1.352725017223562e-05,0.0036779409274458885
34,1.0182233936639837e-05,0.0031909614335745573
35,1.0882281678485638e-05,0.003298830706626177
36,5.085331975510487e-05,0.0071311513893306255
37,4.572539353154627e-05,0.006762055214494467
38,1.1211321203679343e-05,0.0033483311999589205
39,1.3281788436238325e-05,0.0036444186698645353
40,8.584952672078484e-06,0.002930009039118886
41,8.281872467196504e-06,0.0028778237756341696
42,1.2483967047802198e-05,0.0035332655534148216
43,1.4799403998242066e-05,0.0038469990249723196
44,1.9509848469128807e-05,0.0044169956818223
45,3.339191943092075e-05,0.005778573453426361
46,6.384418514460407e-05,0.007990256883203983
47,1.0089841082994899e-05,0.003176450962200761
48,2.4783809999168927e-05,0.0049783349968492985
49,1.4983936516657042e-05,0.0038709091022610664
50,2.1182802682752634e-05,0.004602477885782719
51,1.2988962174206827e-05,0.0036040202248841524
52,9.779233215649362e-06,0.003127176547423005
53,1.9024784836777893e-05,0.004361741244792938
54,3.5003564669359126e-05,0.005916380323469639
55,9.881616221150766e-06,0.003143503563478589
56,1.3329999748629008e-05,0.0036510275676846504
57,1.1969224903051843e-05,0.003459656611084938
58,1.983900769620868e-05,0.004454100504517555
59,2.4981644601423508e-05,0.004998164717108011
60,2.262223937391967e-05,0.004756284411996603
61,4.275773243518418e-05,0.006538939196616411
62,0.00011683855872749874,0.010809189639985561
63,3.2147791110941265e-05,0.005669902078807354
64,8.705419433038052e-06,0.0029504948761314154
65,1.5903165107051603e-05,0.0039878771640360355
66,1.7827605199402793e-05,0.004222275223582983
67,1.2412556243375132e-05,0.00352314580231905
68,2.3913611635749704e-05,0.004890154581516981
69,3.444639770254419e-05,0.005869104992598295
70,1.3475292641909707e-05,0.003670870792120695
71,1.2982574618986366e-05,0.0036031336057931185
72,1.0086097775409649e-05,0.00317586213350296
73,7.701309891378815e-06,0.0027751231100410223
74,4.8851241696902927e-05,0.006989366374909878
