,loss,mean_squared_error,root_mean_squared_error,mean_absolute_error,val_loss,val_mean_squared_error,val_root_mean_squared_error,val_mean_absolute_error
0,0.13728135812874076,0.03871560096740723,0.1967628002166748,0.14997106790542603,0.09223144468652004,0.015799665823578835,0.12569671869277954,0.09609875082969666
1,0.07780043433169548,0.016149790957570076,0.12708182632923126,0.10207360237836838,0.07376812088365506,0.024356963112950325,0.15606717765331268,0.1279783397912979
2,0.05735084453836924,0.016050592064857483,0.12669092416763306,0.10117404162883759,0.04853124098748672,0.013898012228310108,0.11788982897996902,0.09318699687719345
3,0.045163367174658214,0.015245713293552399,0.12347353249788284,0.09861800074577332,0.040015103176933804,0.01417115330696106,0.11904264986515045,0.09523292630910873
4,0.038244241521376614,0.015383364632725716,0.12402969598770142,0.09869444370269775,0.03796419741309324,0.017743833363056183,0.13320598006248474,0.10708589106798172
5,0.03338970148525223,0.015045992098748684,0.12266210466623306,0.0975383073091507,0.035003992397578156,0.018389031291007996,0.13560616970062256,0.10746670514345169
6,0.030116498456144628,0.014844021759927273,0.12183604389429092,0.09709560126066208,0.026986916413476298,0.012888978235423565,0.11352963745594025,0.0880717858672142
7,0.02807839656798016,0.014960977248847485,0.12231507152318954,0.09735001623630524,0.027137588942143954,0.01490751001983881,0.12209631502628326,0.09861137717962265
8,0.025984137481888707,0.014374462887644768,0.11989355087280273,0.09567636996507645,0.024594753967220186,0.013624564744532108,0.11672431230545044,0.09302810579538345
9,0.024854464747873294,0.014428561553359032,0.12011894583702087,0.09553052484989166,0.024499935611915522,0.014509551227092743,0.12045560032129288,0.09671957790851593
10,0.024095979708881558,0.014528934843838215,0.12053602933883667,0.09623899310827255,0.02178671149810513,0.012615099549293518,0.11231695860624313,0.08949952572584152
11,0.023466482956041427,0.014581995084881783,0.12075593322515488,0.0959746465086937,0.02216916430403157,0.01357712596654892,0.11652092635631561,0.09073398262262344
12,0.02279929030670219,0.014491729438304901,0.12038160115480423,0.09596846252679825,0.023581206667370774,0.01552931685000658,0.12461668252944946,0.09541606903076172
13,0.02174687873022038,0.0139128677546978,0.11795282363891602,0.09382966160774231,0.02042019108467612,0.012821109034121037,0.11323033273220062,0.0871569961309433
